AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,Referee,VCA,VCD,VCH,Year,season
1.0,15.0,0.0,5.0,3.0,3.0,Blackburn,7.5,4.0,1.44,6.75,3.8,1.45,2006-10-14,14,E0,1.0,1.0,D,8.0,6.0,0.0,18.0,9.0,1.0,0.0,A,1.0,Liverpool,6.5,3.7,1.45,10,M Clattenburg,7.0,4.0,1.45,06,0607
4.0,14.0,0.0,9.0,3.0,1.0,Watford,15.0,6.5,1.16,13.0,6.5,1.15,2006-10-14,14,E0,0.0,3.0,H,8.0,6.0,0.0,15.0,7.0,0.0,2.0,H,0.0,Arsenal,11.0,5.2,1.2,10,H Webb,13.0,6.5,1.15,06,0607
4.0,12.0,0.0,7.0,3.0,1.0,Sheffield United,5.0,3.6,1.66,5.25,3.5,1.6,2006-10-14,14,E0,0.0,0.0,D,3.0,14.0,0.0,14.0,6.0,0.0,0.0,D,0.0,Man City,4.5,3.5,1.65,10,M Dean,5.0,3.4,1.7,06,0607
3.0,15.0,0.0,7.0,5.0,3.0,Bolton,3.1,3.2,2.25,3.25,3.15,2.1,2006-10-15,15,E0,2.0,1.0,A,3.0,21.0,0.0,10.0,3.0,0.0,1.0,H,3.0,Newcastle,2.8,3.1,2.3,10,A Wiley,3.0,3.25,2.25,06,0607
6.0,12.0,0.0,10.0,3.0,3.0,Charlton,3.6,3.1,2.1,3.55,3.15,2.0,2006-10-16,16,E0,1.0,2.0,H,3.0,9.0,0.0,11.0,6.0,0.0,0.0,D,1.0,Fulham,3.3,3.2,2.0,10,R Styles,3.75,3.4,1.9,06,0607
3.0,11.0,1.0,10.0,4.0,1.0,Sheffield United,6.5,3.5,1.57,6.1,3.6,1.5,2006-10-21,21,E0,0.0,2.0,H,4.0,13.0,0.0,13.0,5.0,0.0,2.0,H,0.0,Everton,5.0,3.7,1.55,10,D Gallagher,6.0,3.5,1.55,06,0607
5.0,12.0,0.0,10.0,1.0,2.0,Portsmouth,10.0,5.0,1.28,10.0,6.0,1.2,2006-10-21,21,E0,1.0,2.0,H,9.0,6.0,0.0,26.0,18.0,0.0,0.0,D,3.0,Chelsea,10.0,4.4,1.27,10,M Clattenburg,10.0,5.5,1.25,06,0607
9.0,17.0,0.0,8.0,3.0,0.0,Watford,4.0,3.25,1.9,3.85,3.15,1.9,2006-10-21,21,E0,0.0,0.0,D,9.0,13.0,0.0,16.0,8.0,0.0,0.0,D,2.0,Charlton,3.3,3.2,2.0,10,L Mason,3.75,3.4,1.9,06,0607
1.0,13.0,0.0,5.0,2.0,2.0,Fulham,5.0,3.4,1.72,5.0,3.3,1.67,2006-10-21,21,E0,1.0,1.0,D,4.0,12.0,0.0,3.0,1.0,1.0,1.0,D,0.0,Aston Villa,4.5,3.3,1.7,10,C Foy,5.0,3.5,1.65,06,0607
5.0,13.0,0.0,9.0,4.0,1.0,Man City,3.1,3.1,2.3,2.95,3.15,2.25,2006-10-21,21,E0,0.0,4.0,H,3.0,14.0,0.0,12.0,5.0,0.0,2.0,H,1.0,Wigan,2.9,3.0,2.3,10,P Dowd,3.0,3.25,2.25,06,0607
2.0,6.0,0.0,16.0,9.0,0.0,Arsenal,1.61,3.6,5.5,1.5,3.6,6.4,2006-10-22,22,E0,4.0,0.0,A,10.0,6.0,0.0,3.0,1.0,2.0,0.0,A,0.0,Reading,1.55,3.6,5.2,10,A Wiley,1.6,3.5,4.5,06,0607
4.0,13.0,0.0,13.0,4.0,0.0,Newcastle,2.87,3.1,2.4,2.9,3.1,2.3,2006-10-22,22,E0,0.0,1.0,H,8.0,17.0,0.0,19.0,8.0,0.0,0.0,D,2.0,Middlesbrough,3.1,3.0,2.2,10,M Atkinson,2.9,3.2,2.35,06,0607
